fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0045937;-0.0076682
8915.3;0.0046279;-0.0068872
7948.3;0.004621;-0.0061127
7086.2;0.0046261;-0.0054252
6317.6;0.0046282;-0.0048115
5632.3;0.0046403;-0.0042579
5021.4;0.0046338;-0.0037609
4476.8;0.0046449;-0.003316
3991.2;0.0046511;-0.0029079
3558.3;0.0046613;-0.002547
3172.3;0.0046709;-0.0022198
2828.2;0.0046894;-0.0019194
2521.5;0.0047126;-0.0016485
2248.0;0.00472;-0.0014044
2004.2;0.0047413;-0.0011863
1786.8;0.0047535;-0.00097668
1593.0;0.0047704;-0.00079586
1420.2;0.0048006;-0.00062128
1266.1;0.0048136;-0.00046383
1128.8;0.0048377;-0.00031424
1006.4;0.0048638;-0.00014695
897.21;0.004832;0.000030656
799.9;0.0048622;0.00015171
713.14;0.0049099;0.00027057
635.78;0.0049441;0.00038705
566.82;0.0049822;0.00050382
505.34;0.0050254;0.00061692
450.53;0.0050652;0.00073192
401.66;0.0051162;0.00085342
358.1;0.00516;0.00097954
319.26;0.0052166;0.0011017
284.63;0.0052725;0.0012472
253.75;0.0053454;0.0013586
226.23;0.005403;0.0015453
201.69;0.0054703;0.001703
179.82;0.0055473;0.0018697
160.31;0.005646;0.0020701
142.92;0.0057497;0.0022218
127.42;0.0058945;0.0024724
113.6;0.0060117;0.0027015
101.28;0.0061592;0.0029782
90.293;0.0063331;0.0032148
80.499;0.0065872;0.0035115
71.768;0.0068058;0.0038016
64.001;0.0071287;0.0040724
56.925;0.007535;0.0044312
50.492;0.0078558;0.0047283
44.655;0.0083597;0.0050938
39.372;0.0088846;0.005436
34.601;0.0094513;0.0057209
30.303;0.01015;0.0059865
26.442;0.010884;0.0061904
22.983;0.011703;0.0063306
19.894;0.012463;0.0064247
17.144;0.013301;0.0063814
14.704;0.014282;0.006174
12.547;0.015089;0.0060493
10.648;0.015847;0.0057785
8.9835;0.016581;0.0053755
7.5313;0.017182;0.0049737
6.2707;0.017607;0.0046799
5.1825;0.018223;0.0039751
4.2488;0.018857;0.0036553
3.4529;0.019082;0.0033652
2.7795;0.019239;0.0030723
2.2144;0.019513;0.0028841
1.7444;0.019812;0.0028001
1.3574;0.02025;0.0027712
1.0423;0.020771;0.0027581
0.78908;0.021364;0.0024547
0.58836;0.021996;0.0021838
0.43177;0.022423;0.0017623
0.31175;0.022696;0.0012812
0.22152;0.022943;0.00090989
0.15507;0.02302;0.00057638
0.10718;0.02304;0.00031631
0.07339;0.022919;-0.000072372
0.05;0.022744;0.00011928
