fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0045874;-0.0062994
8915.3;0.004583;-0.0055981
7948.3;0.0045903;-0.0049587
7086.2;0.0045787;-0.0043958
6317.6;0.0045791;-0.0038808
5632.3;0.0045801;-0.0034315
5021.4;0.0045803;-0.003027
4476.8;0.0045901;-0.0026601
3991.2;0.0046012;-0.0023276
3558.3;0.0046059;-0.0020273
3172.3;0.0046218;-0.0017652
2828.2;0.0046287;-0.0015069
2521.5;0.004654;-0.0012843
2248.0;0.004671;-0.0010823
2004.2;0.0046863;-0.00090293
1786.8;0.004705;-0.0007221
1593.0;0.0047248;-0.00056965
1420.2;0.0047309;-0.0004177
1266.1;0.0047631;-0.00028493
1128.8;0.0047865;-0.00015745
1006.4;0.0048123;-0.000016398
897.21;0.0047808;0.00014353
799.9;0.0048117;0.00024799
713.14;0.0048513;0.00034999
635.78;0.0048893;0.00046429
566.82;0.0049298;0.00055977
505.34;0.0049717;0.00066905
450.53;0.00502;0.0007742
401.66;0.005074;0.00088538
358.1;0.0051107;0.0010071
319.26;0.0051654;0.0011086
284.63;0.0052377;0.0012508
253.75;0.0053038;0.0013755
226.23;0.0053513;0.0015318
201.69;0.0054217;0.0016825
179.82;0.0055257;0.0018258
160.31;0.0055942;0.0020129
142.92;0.0057311;0.0022082
127.42;0.0058179;0.0023864
113.6;0.0059511;0.0026062
101.28;0.0060924;0.0028665
90.293;0.0062856;0.0030982
80.499;0.0064822;0.0033553
71.768;0.0066912;0.0036257
64.001;0.0069872;0.00393
56.925;0.0073986;0.0042667
50.492;0.0077237;0.0046354
44.655;0.0081548;0.0048975
39.372;0.0086436;0.0052188
34.601;0.0091796;0.005522
30.303;0.0098123;0.005842
26.442;0.010524;0.0061169
22.983;0.011242;0.0061984
19.894;0.012114;0.0063571
17.144;0.012964;0.0062848
14.704;0.013835;0.0062306
12.547;0.014625;0.0060749
10.648;0.015537;0.005698
8.9835;0.016247;0.0054646
7.5313;0.016948;0.0049924
6.2707;0.017511;0.004525
5.1825;0.017974;0.004144
4.2488;0.018494;0.0038017
3.4529;0.018876;0.0034155
2.7795;0.019024;0.0030237
2.2144;0.019294;0.0028886
1.7444;0.019585;0.0028113
1.3574;0.019984;0.0027319
1.0423;0.020616;0.0027404
0.78908;0.021125;0.0023234
0.58836;0.021724;0.0020857
0.43177;0.022075;0.0015384
0.31175;0.022297;0.0010683
0.22152;0.022592;0.00076998
0.15507;0.022612;0.00044049
0.10718;0.022664;0.00024852
0.07339;0.022439;-0.000029937
0.05;0.022403;-0.00012707
