fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0045346;-0.006697
8915.3;0.0045328;-0.005943
7948.3;0.0045319;-0.0052776
7086.2;0.0045284;-0.0046742
6317.6;0.004525;-0.0041353
5632.3;0.0045244;-0.0036569
5021.4;0.0045296;-0.0032244
4476.8;0.004532;-0.0028327
3991.2;0.0045423;-0.0024817
3558.3;0.0045499;-0.0021662
3172.3;0.0045627;-0.0018813
2828.2;0.0045782;-0.0016191
2521.5;0.0045917;-0.0013838
2248.0;0.0046119;-0.0011691
2004.2;0.0046304;-0.00097103
1786.8;0.0046917;-0.00079963
1593.0;0.004713;-0.00062906
1420.2;0.0047265;-0.00047249
1266.1;0.0047469;-0.000332
1128.8;0.0047766;-0.00019266
1006.4;0.0047979;-0.000045325
897.21;0.0047709;0.00012003
799.9;0.0048087;0.00024059
713.14;0.0048405;0.00034591
635.78;0.0048739;0.00046406
566.82;0.0049117;0.00056376
505.34;0.0049634;0.00067587
450.53;0.0050084;0.00078722
401.66;0.0050549;0.00090995
358.1;0.0051112;0.0010285
319.26;0.0051588;0.0011694
284.63;0.0052229;0.0012861
253.75;0.0052781;0.0014245
226.23;0.0053223;0.0015935
201.69;0.0054144;0.001747
179.82;0.0054913;0.0019218
160.31;0.005564;0.0020734
142.92;0.0057206;0.0023025
127.42;0.0058272;0.0024695
113.6;0.0059666;0.0027688
101.28;0.0061246;0.0029748
90.293;0.0063132;0.0032545
80.499;0.0065309;0.00353
71.768;0.0067742;0.0038226
64.001;0.0070916;0.0041615
56.925;0.0075716;0.0044642
50.492;0.0079136;0.0048193
44.655;0.0083845;0.0051386
39.372;0.0088814;0.0054139
34.601;0.0094632;0.0057682
30.303;0.010153;0.005994
26.442;0.010926;0.006192
22.983;0.011674;0.0063331
19.894;0.012574;0.0063647
17.144;0.013396;0.0063438
14.704;0.014232;0.0061908
12.547;0.015033;0.0059834
10.648;0.015808;0.0056934
8.9835;0.016503;0.0053043
7.5313;0.017125;0.0048795
6.2707;0.017661;0.0044761
5.1825;0.018168;0.0039103
4.2488;0.018654;0.0036544
3.4529;0.019028;0.0032043
2.7795;0.019343;0.0027895
2.2144;0.019284;0.0029796
1.7444;0.019668;0.0026122
1.3574;0.020132;0.0026923
1.0423;0.02066;0.0026651
0.78908;0.021254;0.0024435
0.58836;0.021919;0.0021531
0.43177;0.022274;0.0017392
0.31175;0.022545;0.0012476
0.22152;0.022724;0.0008081
0.15507;0.022797;0.00046919
0.10718;0.022794;0.00017446
0.07339;0.022701;0.000043287
0.05;0.022763;-0.000079905
