fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0044674;-0.0062924
8915.3;0.004481;-0.0055894
7948.3;0.0044807;-0.00497
7086.2;0.0044823;-0.0043945
6317.6;0.0044829;-0.0039042
5632.3;0.0044867;-0.0034523
5021.4;0.0044899;-0.0030293
4476.8;0.004496;-0.0026671
3991.2;0.0045037;-0.002346
3558.3;0.0045154;-0.0020394
3172.3;0.0045198;-0.0017667
2828.2;0.0045248;-0.0015273
2521.5;0.0045388;-0.0013011
2248.0;0.0045673;-0.0011021
2004.2;0.00458;-0.00091725
1786.8;0.0045981;-0.00074738
1593.0;0.0046199;-0.00059297
1420.2;0.00463;-0.00047849
1266.1;0.0046619;-0.00030842
1128.8;0.0046901;-0.00018986
1006.4;0.0047124;-0.000054398
897.21;0.0046822;0.00010775
799.9;0.0047153;0.00021974
713.14;0.0047438;0.00031228
635.78;0.0047807;0.00041323
566.82;0.0048202;0.00050624
505.34;0.0048622;0.00061654
450.53;0.0049065;0.00071142
401.66;0.0049609;0.00082191
358.1;0.0050235;0.00092497
319.26;0.0050583;0.0010052
284.63;0.0051349;0.0011617
253.75;0.0052148;0.0012779
226.23;0.0052716;0.0014175
201.69;0.0053752;0.001566
179.82;0.0054524;0.0016517
160.31;0.0055736;0.0018218
142.92;0.0056922;0.001977
127.42;0.0058469;0.0021788
113.6;0.0059455;0.0023371
101.28;0.0061375;0.0025713
90.293;0.0063908;0.0026005
80.499;0.0065663;0.0028316
71.768;0.0068532;0.003006
64.001;0.0071504;0.0031944
56.925;0.0075068;0.0034421
50.492;0.0078625;0.003489
44.655;0.0082584;0.0036879
39.372;0.0085539;0.0036564
34.601;0.009156;0.0039207
30.303;0.009495;0.0039088
26.442;0.0099044;0.00372
22.983;0.010322;0.0036414
19.894;0.010734;0.0035839
17.144;0.01118;0.0034935
14.704;0.011594;0.0033915
12.547;0.011896;0.0032157
10.648;0.012233;0.0029461
8.9835;0.01257;0.0029425
7.5313;0.012775;0.0028246
6.2707;0.013132;0.002569
5.1825;0.013417;0.0022924
4.2488;0.013629;0.0023239
3.4529;0.013905;0.0024626
2.7795;0.014171;0.0019708
2.2144;0.014866;0.0019579
1.7444;0.015046;0.0020422
1.3574;0.015684;0.0019459
1.0423;0.01598;0.001461
0.78908;0.016191;0.0011908
0.58836;0.016331;0.00088666
0.43177;0.016337;0.00056724
0.31175;0.01642;0.00032826
0.22152;0.016374;0.00015051
0.15507;0.01634;-0.000067643
0.10718;0.016276;-0.00010652
0.07339;0.016034;-0.00035821
0.05;0.016141;-0.00029456
