fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0044806;-0.0067573
8915.3;0.0044707;-0.0060061
7948.3;0.0044665;-0.0053342
7086.2;0.0044581;-0.004729
6317.6;0.0044617;-0.004191
5632.3;0.0044602;-0.0037097
5021.4;0.0044632;-0.0032728
4476.8;0.0044684;-0.0028824
3991.2;0.004479;-0.0025288
3558.3;0.004484;-0.0022115
3172.3;0.0044965;-0.0019265
2828.2;0.0045068;-0.001666
2521.5;0.0045177;-0.0014306
2248.0;0.004532;-0.0012177
2004.2;0.0045507;-0.0010226
1786.8;0.004565;-0.0008417
1593.0;0.0045844;-0.00068048
1420.2;0.0046096;-0.00053302
1266.1;0.0046295;-0.00038014
1128.8;0.0046571;-0.00025137
1006.4;0.0046749;-0.00010716
897.21;0.0046982;0.000037356
799.9;0.0047199;0.00014303
713.14;0.0047704;0.00025103
635.78;0.004796;0.0003589
566.82;0.0048353;0.00043957
505.34;0.0048651;0.0005401
450.53;0.0049217;0.00067567
401.66;0.0049541;0.00080019
358.1;0.0050302;0.00086935
319.26;0.0050898;0.0010275
284.63;0.0051448;0.001112
253.75;0.0052379;0.0012408
226.23;0.0052773;0.0013853
201.69;0.0053476;0.0014843
179.82;0.005477;0.0016439
160.31;0.0055991;0.0018048
142.92;0.005708;0.0019344
127.42;0.0058141;0.0020948
113.6;0.0060376;0.0023317
101.28;0.0062146;0.0024578
90.293;0.0063883;0.0025568
80.499;0.0065964;0.0027947
71.768;0.0068272;0.0028878
64.001;0.007075;0.002984
56.925;0.007447;0.0033093
50.492;0.0078347;0.0033146
44.655;0.0081134;0.0034639
39.372;0.0085035;0.0035212
34.601;0.0088654;0.0036136
30.303;0.0092979;0.0036071
26.442;0.0096824;0.0036237
22.983;0.010032;0.0035742
19.894;0.01041;0.0036268
17.144;0.010888;0.0035651
14.704;0.011184;0.0035413
12.547;0.011554;0.0034218
10.648;0.011931;0.0032343
8.9835;0.012341;0.0032271
7.5313;0.01249;0.0030916
6.2707;0.01304;0.003142
5.1825;0.013117;0.0030068
4.2488;0.013962;0.0031304
3.4529;0.014235;0.0033523
2.7795;0.014411;0.0031213
2.2144;0.015484;0.0026548
1.7444;0.016068;0.0023062
1.3574;0.016448;0.0020499
1.0423;0.016651;0.0015654
0.78908;0.016881;0.0011097
0.58836;0.016985;0.00075182
0.43177;0.017088;0.00040739
0.31175;0.017003;0.00022471
0.22152;0.017015;0.000031799
0.15507;0.016896;-0.00012176
0.10718;0.016766;-0.00021897
0.07339;0.016646;-0.00032178
0.05;0.016519;-0.00028904
