U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm2)
0.576;0.569;0.565;0.563;0.55;2.823;100.215;1.00215
0.576;0.569;0.566;0.563;0.55;2.824;100.205;1.00205
0.576;0.57;0.566;0.563;0.55;2.825;100.151;1.00151
0.576;0.57;0.566;0.563;0.551;2.826;100.146;1.00146
0.577;0.57;0.566;0.563;0.551;2.827;100.151;1.00151
0.577;0.571;0.567;0.564;0.551;2.83;100.146;1.00146
0.578;0.571;0.567;0.564;0.551;2.831;100.112;1.00112
0.578;0.571;0.567;0.565;0.552;2.833;100.122;1.00122
0.578;0.571;0.567;0.565;0.552;2.833;100.053;1.00053
0.578;0.572;0.567;0.565;0.552;2.834;100.048;1.00048
0.578;0.572;0.568;0.566;0.553;2.837;100.048;1.00048
0.578;0.572;0.568;0.566;0.553;2.837;100.034;1.00034
0.579;0.572;0.568;0.566;0.553;2.838;99.995;0.99995
0.578;0.572;0.568;0.566;0.553;2.837;99.956;0.99956
0.579;0.572;0.568;0.565;0.552;2.836;99.946;0.99946
0.579;0.573;0.568;0.566;0.553;2.839;99.931;0.99931
0.579;0.573;0.568;0.566;0.553;2.839;99.897;0.99897
0.579;0.573;0.568;0.566;0.553;2.839;99.858;0.99858
0.579;0.573;0.569;0.566;0.553;2.84;99.858;0.99858
0.579;0.573;0.569;0.566;0.553;2.84;99.853;0.99853
0.579;0.573;0.569;0.566;0.553;2.84;99.848;0.99848
0.579;0.573;0.569;0.566;0.553;2.84;99.814;0.99814
0.579;0.573;0.569;0.567;0.554;2.842;99.799;0.99799
0.58;0.574;0.569;0.567;0.554;2.844;99.76;0.9976
0.579;0.574;0.569;0.567;0.554;2.843;99.755;0.99755
0.58;0.574;0.57;0.567;0.554;2.845;99.755;0.99755
0.58;0.574;0.57;0.567;0.554;2.845;99.716;0.99716
0.58;0.574;0.57;0.567;0.554;2.845;99.697;0.99697
0.58;0.574;0.57;0.567;0.554;2.845;99.668;0.99668
0.58;0.574;0.57;0.567;0.554;2.845;99.653;0.99653
0.58;0.575;0.57;0.568;0.555;2.848;99.624;0.99624
0.58;0.574;0.57;0.568;0.555;2.847;99.619;0.99619
0.58;0.574;0.57;0.568;0.555;2.847;99.599;0.99599
0.581;0.575;0.571;0.568;0.555;2.85;99.555;0.99555
0.581;0.575;0.571;0.568;0.555;2.85;99.541;0.99541
0.581;0.575;0.571;0.568;0.555;2.85;99.516;0.99516
0.581;0.575;0.571;0.568;0.555;2.85;99.492;0.99492
0.581;0.575;0.571;0.568;0.555;2.85;99.467;0.99467
0.581;0.575;0.571;0.568;0.555;2.85;99.467;0.99467
0.581;0.575;0.571;0.568;0.556;2.851;99.448;0.99448
0.582;0.575;0.571;0.568;0.556;2.852;99.418;0.99418
0.582;0.575;0.571;0.568;0.556;2.852;99.414;0.99414
0.581;0.575;0.571;0.568;0.556;2.851;99.418;0.99418
0.582;0.575;0.571;0.568;0.556;2.852;99.365;0.99365
0.582;0.575;0.571;0.569;0.556;2.853;99.36;0.9936
0.582;0.575;0.572;0.569;0.556;2.854;99.331;0.99331
0.582;0.576;0.572;0.569;0.556;2.855;99.331;0.99331
0.582;0.575;0.572;0.569;0.556;2.854;99.296;0.99296
0.582;0.576;0.572;0.569;0.556;2.855;99.272;0.99272
0.582;0.576;0.572;0.569;0.556;2.855;99.262;0.99262
0.583;0.576;0.572;0.569;0.557;2.857;99.247;0.99247
0.582;0.576;0.572;0.569;0.557;2.856;99.223;0.99223
0.583;0.576;0.572;0.57;0.557;2.858;99.208;0.99208
0.583;0.576;0.572;0.57;0.557;2.858;99.164;0.99164
0.583;0.577;0.572;0.57;0.557;2.859;99.135;0.99135
0.583;0.576;0.572;0.57;0.557;2.858;99.135;0.99135
0.583;0.576;0.572;0.57;0.557;2.858;99.106;0.99106
0.583;0.577;0.573;0.57;0.557;2.86;99.067;0.99067
0.583;0.577;0.573;0.57;0.557;2.86;99.052;0.99052
0.583;0.577;0.573;0.57;0.557;2.86;99.028;0.99028
0.583;0.577;0.573;0.57;0.557;2.86;99.033;0.99033
0.583;0.577;0.573;0.57;0.557;2.86;99.037;0.99037
0.582;0.577;0.573;0.57;0.557;2.859;98.989;0.98989
0.583;0.577;0.573;0.57;0.557;2.86;98.974;0.98974
0.583;0.577;0.573;0.57;0.557;2.86;98.974;0.98974
0.583;0.577;0.573;0.57;0.557;2.86;98.945;0.98945
0.582;0.577;0.573;0.57;0.557;2.859;98.906;0.98906
0.583;0.577;0.573;0.57;0.557;2.86;98.881;0.98881
0.583;0.577;0.573;0.57;0.557;2.86;98.871;0.98871
0.583;0.577;0.573;0.57;0.557;2.86;98.842;0.98842
0.583;0.577;0.573;0.57;0.557;2.86;98.827;0.98827
0.582;0.577;0.573;0.57;0.557;2.859;98.813;0.98813
0.583;0.577;0.573;0.57;0.557;2.86;98.803;0.98803
0.583;0.577;0.573;0.57;0.557;2.86;98.779;0.98779
0.583;0.577;0.573;0.57;0.557;2.86;98.759;0.98759
0.583;0.578;0.573;0.57;0.557;2.861;98.735;0.98735
0.582;0.577;0.573;0.57;0.557;2.859;98.74;0.9874
0.583;0.577;0.573;0.57;0.557;2.86;98.72;0.9872
0.583;0.578;0.573;0.57;0.557;2.861;98.676;0.98676
0.583;0.578;0.573;0.571;0.557;2.862;98.627;0.98627
0.583;0.578;0.573;0.571;0.557;2.862;98.622;0.98622
0.583;0.577;0.573;0.571;0.558;2.862;98.642;0.98642
0.583;0.578;0.574;0.571;0.557;2.863;98.593;0.98593
0.583;0.578;0.574;0.571;0.558;2.864;98.569;0.98569
0.583;0.578;0.574;0.571;0.558;2.864;98.554;0.98554
0.583;0.578;0.574;0.571;0.558;2.864;98.51;0.9851
0.583;0.578;0.574;0.571;0.558;2.864;98.486;0.98486
0.583;0.578;0.574;0.571;0.558;2.864;98.486;0.98486
0.583;0.578;0.574;0.571;0.558;2.864;98.481;0.98481
0.583;0.578;0.574;0.571;0.558;2.864;98.442;0.98442
0.583;0.578;0.574;0.571;0.558;2.864;98.447;0.98447
0.584;0.578;0.574;0.571;0.558;2.865;98.412;0.98412
0.584;0.578;0.574;0.571;0.558;2.865;98.388;0.98388
0.584;0.578;0.574;0.571;0.558;2.865;98.383;0.98383
