fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.004471;-0.0059557
8915.3;0.0044561;-0.005298
7948.3;0.0044583;-0.0047034
7086.2;0.0044605;-0.0041693
6317.6;0.0044489;-0.0036835
5632.3;0.0044523;-0.0032664
5021.4;0.0044626;-0.0028696
4476.8;0.0044606;-0.0025303
3991.2;0.0044798;-0.0022133
3558.3;0.0044783;-0.0019352
3172.3;0.004481;-0.0016734
2828.2;0.0044993;-0.0014378
2521.5;0.0045106;-0.0012281
2248.0;0.0045292;-0.0010295
2004.2;0.0045423;-0.000861
1786.8;0.0045579;-0.00069183
1593.0;0.0045836;-0.00054339
1420.2;0.0045953;-0.00041119
1266.1;0.0046244;-0.00027337
1128.8;0.0046538;-0.00015653
1006.4;0.0046784;-0.000021335
897.21;0.0046385;0.00013229
799.9;0.0046762;0.00023703
713.14;0.0047115;0.00033211
635.78;0.0047446;0.00042936
566.82;0.0047795;0.00053266
505.34;0.0048224;0.00063528
450.53;0.0048688;0.00073679
401.66;0.0049201;0.00083611
358.1;0.0049689;0.00094153
319.26;0.0050391;0.0010604
284.63;0.0051006;0.0011722
253.75;0.0051851;0.0012973
226.23;0.0052368;0.001441
201.69;0.0053363;0.0015852
179.82;0.0054545;0.0017132
160.31;0.0055539;0.001881
142.92;0.0056814;0.0020063
127.42;0.0058101;0.0021818
113.6;0.0059768;0.0023833
101.28;0.0061448;0.0025154
90.293;0.006332;0.0027096
80.499;0.0065431;0.0028756
71.768;0.0068084;0.0030236
64.001;0.0071241;0.0031936
56.925;0.0075748;0.0033775
50.492;0.0079174;0.0034782
44.655;0.0082464;0.003616
39.372;0.0086628;0.0037633
34.601;0.0090943;0.0037431
30.303;0.009478;0.0037777
26.442;0.0099456;0.0037167
22.983;0.010379;0.0037094
19.894;0.010828;0.0035805
17.144;0.011188;0.0035069
14.704;0.011589;0.0032693
12.547;0.011897;0.0031253
10.648;0.012261;0.0030008
8.9835;0.012502;0.0028805
7.5313;0.012785;0.002686
6.2707;0.013109;0.0024863
5.1825;0.01337;0.0023605
4.2488;0.013437;0.0022615
3.4529;0.013831;0.0024212
2.7795;0.01413;0.0023575
2.2144;0.014651;0.0022557
1.7444;0.015075;0.0021615
1.3574;0.015546;0.0020521
1.0423;0.015821;0.001658
0.78908;0.016152;0.0013302
0.58836;0.016235;0.00085785
0.43177;0.016333;0.00063439
0.31175;0.016368;0.00040912
0.22152;0.016297;0.00019622
0.15507;0.016408;0.000059894
0.10718;0.016216;-0.000066784
0.07339;0.016032;-0.00017407
0.05;0.015959;-0.00034709
