fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0045199;-0.0077491
8915.3;0.0045238;-0.0068856
7948.3;0.0045237;-0.0061207
7086.2;0.0044987;-0.0054354
6317.6;0.0045247;-0.0048203
5632.3;0.0045382;-0.0042527
5021.4;0.0045343;-0.0037639
4476.8;0.0045365;-0.0033187
3991.2;0.0045457;-0.0029163
3558.3;0.0045565;-0.00256
3172.3;0.0045634;-0.0022238
2828.2;0.0045826;-0.0019313
2521.5;0.0045888;-0.0016689
2248.0;0.0046121;-0.0014247
2004.2;0.0046247;-0.0012061
1786.8;0.0046425;-0.0010066
1593.0;0.0046621;-0.00081704
1420.2;0.0046736;-0.00064663
1266.1;0.004707;-0.00049916
1128.8;0.0047418;-0.00033612
1006.4;0.0047566;-0.00017145
897.21;0.004735;-0.000032875
799.9;0.0047652;0.00010749
713.14;0.0047921;0.00021864
635.78;0.0048118;0.00031302
566.82;0.0048681;0.00042884
505.34;0.0049047;0.00055133
450.53;0.0049977;0.00066663
401.66;0.0050072;0.00078012
358.1;0.0050876;0.00091569
319.26;0.0051137;0.0010133
284.63;0.0051941;0.0011483
253.75;0.0052632;0.0012673
226.23;0.0053347;0.0014323
201.69;0.0054167;0.0015739
179.82;0.0055562;0.0016742
160.31;0.0056618;0.001886
142.92;0.0058123;0.0020384
127.42;0.0059051;0.0021179
113.6;0.006071;0.0023746
101.28;0.0062183;0.0026579
90.293;0.0065016;0.0027058
80.499;0.0067507;0.003164
71.768;0.0069003;0.0030815
64.001;0.0072662;0.0032215
56.925;0.0076519;0.0034915
50.492;0.0078675;0.0034449
44.655;0.0085383;0.0036042
39.372;0.0088033;0.0038315
34.601;0.0091818;0.0036537
30.303;0.0096899;0.0038416
26.442;0.010112;0.0038349
22.983;0.010563;0.003701
19.894;0.010903;0.0038762
17.144;0.011343;0.0034776
14.704;0.011781;0.0034397
12.547;0.012217;0.0032998
10.648;0.012384;0.0031949
8.9835;0.012734;0.0028949
7.5313;0.01264;0.0029453
6.2707;0.012937;0.0029157
5.1825;0.014008;0.0026331
4.2488;0.013749;0.0026253
3.4529;0.013947;0.0022629
2.7795;0.014265;0.0023981
2.2144;0.014699;0.0014001
1.7444;0.015478;0.0023801
1.3574;0.015937;0.0020851
1.0423;0.016189;0.0015807
0.78908;0.016537;0.001262
0.58836;0.01655;0.00086114
0.43177;0.016602;0.00054109
0.31175;0.016659;0.00035259
0.22152;0.016631;0.00013902
0.15507;0.016618;-0.0000017406
0.10718;0.016607;-0.00011641
0.07339;0.016499;-0.000097109
0.05;0.016353;-0.00034849
