U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm2)
0.591;0.585;0.578;0.578;0.57;2.902;100.249;1.00249
0.59;0.585;0.578;0.578;0.569;2.9;100.244;1.00244
0.591;0.585;0.579;0.578;0.57;2.903;100.244;1.00244
0.59;0.585;0.578;0.578;0.57;2.901;100.244;1.00244
0.59;0.585;0.578;0.578;0.569;2.9;100.244;1.00244
0.591;0.585;0.578;0.578;0.569;2.901;100.239;1.00239
0.591;0.585;0.578;0.577;0.569;2.9;100.244;1.00244
0.591;0.585;0.578;0.578;0.57;2.902;100.244;1.00244
0.59;0.584;0.577;0.577;0.569;2.897;100.249;1.00249
0.591;0.585;0.578;0.577;0.569;2.9;100.239;1.00239
0.591;0.586;0.579;0.579;0.57;2.905;100.239;1.00239
0.592;0.586;0.578;0.579;0.57;2.905;100.239;1.00239
0.59;0.585;0.577;0.578;0.569;2.899;100.244;1.00244
0.591;0.586;0.578;0.579;0.57;2.904;100.244;1.00244
0.591;0.585;0.578;0.578;0.57;2.902;100.244;1.00244
0.591;0.585;0.578;0.578;0.57;2.902;100.239;1.00239
0.591;0.585;0.578;0.579;0.57;2.903;100.239;1.00239
0.591;0.586;0.578;0.579;0.57;2.904;100.244;1.00244
0.592;0.586;0.579;0.579;0.571;2.907;100.249;1.00249
0.592;0.586;0.579;0.579;0.571;2.907;100.239;1.00239
0.592;0.586;0.579;0.579;0.571;2.907;100.244;1.00244
0.591;0.586;0.58;0.579;0.571;2.907;100.244;1.00244
0.592;0.586;0.58;0.579;0.571;2.908;100.239;1.00239
0.592;0.586;0.579;0.579;0.571;2.907;100.244;1.00244
0.592;0.586;0.579;0.579;0.571;2.907;100.254;1.00254
0.592;0.586;0.579;0.579;0.571;2.907;100.249;1.00249
0.592;0.586;0.579;0.579;0.571;2.907;100.244;1.00244
0.593;0.586;0.58;0.58;0.571;2.91;100.244;1.00244
0.592;0.586;0.579;0.579;0.57;2.906;100.249;1.00249
0.592;0.587;0.58;0.58;0.572;2.911;100.254;1.00254
0.592;0.586;0.579;0.579;0.571;2.907;100.249;1.00249
0.592;0.587;0.58;0.58;0.572;2.911;100.254;1.00254
0.591;0.586;0.579;0.579;0.571;2.906;100.249;1.00249
0.592;0.587;0.58;0.58;0.572;2.911;100.244;1.00244
0.592;0.586;0.58;0.58;0.571;2.909;100.249;1.00249
0.592;0.586;0.58;0.58;0.571;2.909;100.244;1.00244
0.591;0.586;0.58;0.579;0.571;2.907;100.254;1.00254
0.592;0.586;0.58;0.579;0.571;2.908;100.244;1.00244
0.591;0.586;0.579;0.579;0.571;2.906;100.258;1.00258
0.591;0.585;0.579;0.579;0.57;2.904;100.254;1.00254
0.59;0.585;0.578;0.578;0.57;2.901;100.244;1.00244
0.591;0.586;0.579;0.578;0.571;2.905;100.249;1.00249
0.59;0.585;0.578;0.578;0.57;2.901;100.258;1.00258
0.591;0.586;0.58;0.579;0.571;2.907;100.249;1.00249
0.591;0.585;0.578;0.578;0.57;2.902;100.249;1.00249
0.591;0.586;0.58;0.579;0.571;2.907;100.254;1.00254
0.591;0.586;0.58;0.579;0.571;2.907;100.244;1.00244
0.592;0.586;0.58;0.579;0.571;2.908;100.258;1.00258
0.592;0.586;0.58;0.579;0.572;2.909;100.249;1.00249
0.592;0.586;0.581;0.579;0.572;2.91;100.244;1.00244
0.592;0.586;0.58;0.579;0.572;2.909;100.249;1.00249
0.591;0.585;0.58;0.578;0.571;2.905;100.244;1.00244
0.592;0.586;0.581;0.579;0.572;2.91;100.249;1.00249
0.592;0.586;0.58;0.579;0.572;2.909;100.244;1.00244
0.592;0.587;0.58;0.579;0.572;2.91;100.258;1.00258
0.592;0.586;0.581;0.579;0.572;2.91;100.258;1.00258
0.592;0.586;0.581;0.579;0.571;2.909;100.254;1.00254
0.593;0.586;0.581;0.579;0.571;2.91;100.254;1.00254
0.592;0.585;0.58;0.578;0.571;2.906;100.254;1.00254
0.592;0.586;0.58;0.579;0.571;2.908;100.244;1.00244
0.593;0.586;0.581;0.579;0.571;2.91;100.249;1.00249
0.592;0.586;0.58;0.579;0.571;2.908;100.244;1.00244
0.592;0.586;0.581;0.579;0.571;2.909;100.249;1.00249
0.592;0.586;0.581;0.579;0.571;2.909;100.258;1.00258
0.591;0.586;0.58;0.578;0.57;2.905;100.249;1.00249
0.591;0.585;0.579;0.578;0.57;2.903;100.254;1.00254
0.592;0.586;0.58;0.579;0.571;2.908;100.249;1.00249
0.592;0.586;0.58;0.579;0.571;2.908;100.244;1.00244
0.591;0.586;0.58;0.578;0.57;2.905;100.244;1.00244
0.591;0.586;0.58;0.579;0.57;2.906;100.244;1.00244
0.591;0.586;0.58;0.579;0.571;2.907;100.249;1.00249
0.592;0.587;0.581;0.579;0.572;2.911;100.244;1.00244
0.592;0.587;0.581;0.579;0.571;2.91;100.249;1.00249
0.592;0.586;0.58;0.578;0.57;2.906;100.249;1.00249
0.593;0.587;0.581;0.579;0.571;2.911;100.254;1.00254
0.592;0.587;0.581;0.579;0.571;2.91;100.254;1.00254
0.592;0.587;0.581;0.579;0.571;2.91;100.249;1.00249
0.592;0.587;0.581;0.578;0.57;2.908;100.244;1.00244
0.593;0.588;0.582;0.579;0.572;2.914;100.254;1.00254
0.592;0.587;0.581;0.578;0.57;2.908;100.254;1.00254
0.593;0.587;0.582;0.579;0.571;2.912;100.249;1.00249
0.592;0.586;0.581;0.578;0.57;2.907;100.249;1.00249
0.592;0.586;0.581;0.578;0.571;2.908;100.254;1.00254
0.592;0.587;0.581;0.579;0.571;2.91;100.244;1.00244
0.593;0.587;0.581;0.58;0.571;2.912;100.244;1.00244
0.592;0.586;0.581;0.579;0.571;2.909;100.254;1.00254
0.593;0.587;0.581;0.581;0.572;2.914;100.254;1.00254
0.592;0.587;0.581;0.58;0.572;2.912;100.249;1.00249
0.591;0.586;0.58;0.579;0.571;2.907;100.254;1.00254
0.592;0.586;0.581;0.58;0.571;2.91;100.244;1.00244
0.591;0.586;0.58;0.579;0.57;2.906;100.244;1.00244
0.592;0.587;0.581;0.58;0.571;2.911;100.249;1.00249
0.591;0.586;0.58;0.579;0.57;2.906;100.244;1.00244
0.591;0.586;0.58;0.579;0.571;2.907;100.258;1.00258
0.59;0.586;0.58;0.579;0.57;2.905;100.249;1.00249
0.591;0.586;0.581;0.579;0.57;2.907;100.249;1.00249
0.591;0.587;0.581;0.579;0.571;2.909;100.254;1.00254
0.591;0.586;0.581;0.579;0.57;2.907;100.249;1.00249
0.591;0.586;0.581;0.579;0.571;2.908;100.244;1.00244
0.591;0.586;0.581;0.579;0.571;2.908;100.244;1.00244
0.592;0.587;0.582;0.58;0.572;2.913;100.249;1.00249
0.592;0.587;0.582;0.58;0.572;2.913;100.249;1.00249
0.592;0.587;0.582;0.58;0.571;2.912;100.249;1.00249
0.592;0.588;0.583;0.581;0.572;2.916;100.249;1.00249
0.592;0.587;0.582;0.58;0.572;2.913;100.244;1.00244
0.592;0.587;0.582;0.58;0.572;2.913;100.244;1.00244
0.592;0.587;0.583;0.581;0.572;2.915;100.254;1.00254
0.592;0.587;0.582;0.581;0.572;2.914;100.249;1.00249
0.592;0.587;0.581;0.581;0.572;2.913;100.244;1.00244
0.593;0.588;0.582;0.581;0.573;2.917;100.263;1.00263
0.592;0.587;0.582;0.581;0.572;2.914;100.249;1.00249
0.592;0.587;0.582;0.581;0.572;2.914;100.254;1.00254
0.591;0.587;0.581;0.58;0.572;2.911;100.244;1.00244
0.591;0.586;0.581;0.58;0.572;2.91;100.249;1.00249
0.591;0.587;0.582;0.581;0.573;2.914;100.249;1.00249
0.592;0.587;0.582;0.581;0.573;2.915;100.249;1.00249
0.591;0.587;0.581;0.58;0.572;2.911;100.244;1.00244
0.591;0.587;0.58;0.579;0.571;2.908;100.249;1.00249
0.591;0.586;0.581;0.579;0.572;2.909;100.244;1.00244
0.591;0.586;0.581;0.579;0.571;2.908;100.249;1.00249
0.591;0.586;0.58;0.579;0.571;2.907;100.244;1.00244
0.591;0.586;0.581;0.58;0.572;2.91;100.244;1.00244
