U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Ustack (V);I (A);J (A/cm2)
0.603;0.598;0.59;0.591;0.59;2.9634;100.234;1.00234
0.603;0.597;0.589;0.591;0.589;2.9598;100.229;1.00229
0.604;0.599;0.591;0.593;0.591;2.9696;100.215;1.00215
0.604;0.599;0.591;0.592;0.591;2.9684;100.156;1.00156
0.605;0.6;0.591;0.593;0.591;2.971;100.131;1.00131
0.606;0.6;0.592;0.594;0.592;2.9748;100.141;1.00141
0.606;0.6;0.592;0.593;0.592;2.9736;100.141;1.00141
0.606;0.6;0.592;0.594;0.592;2.9748;100.117;1.00117
0.606;0.6;0.592;0.594;0.592;2.9748;100.078;1.00078
0.606;0.6;0.592;0.594;0.592;2.9748;100.048;1.00048
0.606;0.6;0.592;0.594;0.592;2.9748;100.044;1.00044
0.607;0.601;0.593;0.594;0.593;2.9786;100.009;1.00009
0.606;0.6;0.592;0.594;0.592;2.9748;99.965;0.99965
0.608;0.602;0.594;0.596;0.594;2.9848;99.961;0.99961
0.606;0.601;0.593;0.595;0.593;2.9796;99.941;0.99941
0.607;0.601;0.593;0.595;0.593;2.9798;99.946;0.99946
0.607;0.601;0.593;0.595;0.593;2.9798;99.946;0.99946
0.608;0.602;0.594;0.595;0.594;2.9836;99.926;0.99926
0.608;0.602;0.594;0.596;0.594;2.9848;99.858;0.99858
0.608;0.602;0.594;0.596;0.594;2.9848;99.838;0.99838
0.608;0.602;0.594;0.596;0.594;2.9848;99.834;0.99834
0.608;0.602;0.594;0.596;0.594;2.9848;99.838;0.99838
0.608;0.602;0.594;0.596;0.594;2.9848;99.829;0.99829
0.608;0.602;0.595;0.597;0.595;2.9884;99.765;0.99765
0.609;0.603;0.595;0.597;0.595;2.9898;99.775;0.99775
0.609;0.603;0.595;0.597;0.595;2.9898;99.707;0.99707
0.609;0.603;0.595;0.597;0.595;2.9898;99.672;0.99672
0.609;0.603;0.596;0.597;0.595;2.991;99.668;0.99668
0.61;0.604;0.596;0.598;0.595;2.9936;99.677;0.99677
0.609;0.603;0.596;0.597;0.595;2.991;99.672;0.99672
0.61;0.603;0.596;0.598;0.595;2.9924;99.624;0.99624
0.61;0.604;0.597;0.598;0.596;2.996;99.565;0.99565
0.61;0.604;0.596;0.598;0.596;2.9948;99.565;0.99565
0.61;0.604;0.596;0.598;0.596;2.9948;99.555;0.99555
0.61;0.605;0.597;0.598;0.596;2.9972;99.55;0.9955
0.61;0.604;0.597;0.598;0.596;2.996;99.516;0.99516
0.61;0.605;0.597;0.598;0.596;2.9972;99.472;0.99472
0.61;0.604;0.597;0.598;0.596;2.996;99.472;0.99472
0.611;0.605;0.597;0.599;0.596;2.9986;99.467;0.99467
0.611;0.604;0.597;0.599;0.596;2.9974;99.467;0.99467
0.611;0.605;0.597;0.599;0.596;2.9986;99.418;0.99418
0.611;0.605;0.597;0.6;0.597;3.001;99.374;0.99374
0.611;0.605;0.597;0.599;0.597;2.9998;99.37;0.9937
0.61;0.604;0.597;0.599;0.596;2.9972;99.379;0.99379
0.611;0.605;0.598;0.599;0.597;3.001;99.37;0.9937
0.611;0.605;0.597;0.599;0.597;2.9998;99.345;0.99345
0.611;0.605;0.598;0.599;0.597;3.001;99.282;0.99282
0.611;0.605;0.598;0.599;0.597;3.001;99.272;0.99272
0.611;0.605;0.598;0.599;0.597;3.001;99.267;0.99267
0.611;0.605;0.597;0.599;0.597;2.9998;99.267;0.99267
0.612;0.606;0.598;0.6;0.598;3.0048;99.228;0.99228
0.612;0.606;0.598;0.6;0.597;3.0036;99.179;0.99179
0.612;0.605;0.598;0.6;0.597;3.0024;99.174;0.99174
0.611;0.605;0.597;0.6;0.597;3.001;99.169;0.99169
0.612;0.606;0.598;0.6;0.598;3.0048;99.164;0.99164
0.611;0.606;0.598;0.6;0.597;3.0034;99.125;0.99125
0.611;0.606;0.598;0.6;0.598;3.0046;99.081;0.99081
0.611;0.605;0.597;0.599;0.597;2.9998;99.072;0.99072
0.612;0.606;0.599;0.601;0.598;3.0072;99.072;0.99072
0.611;0.605;0.597;0.599;0.597;2.9998;99.072;0.99072
0.612;0.606;0.598;0.601;0.598;3.006;99.037;0.99037
0.611;0.606;0.598;0.6;0.598;3.0046;99.018;0.99018
0.611;0.606;0.598;0.6;0.597;3.0034;98.979;0.98979
0.612;0.606;0.598;0.601;0.598;3.006;98.964;0.98964
0.612;0.606;0.598;0.601;0.598;3.006;98.94;0.9894
0.612;0.606;0.599;0.601;0.598;3.0072;98.935;0.98935
0.612;0.606;0.598;0.6;0.598;3.0048;98.91;0.9891
0.612;0.606;0.598;0.6;0.598;3.0048;98.881;0.98881
0.612;0.607;0.599;0.601;0.598;3.0084;98.881;0.98881
0.612;0.606;0.598;0.6;0.598;3.0048;98.832;0.98832
0.612;0.606;0.599;0.601;0.598;3.0072;98.842;0.98842
0.612;0.607;0.598;0.601;0.598;3.0072;98.808;0.98808
0.612;0.606;0.598;0.601;0.598;3.006;98.784;0.98784
0.612;0.607;0.598;0.601;0.598;3.0072;98.779;0.98779
0.612;0.607;0.598;0.601;0.598;3.0072;98.764;0.98764
0.612;0.607;0.598;0.601;0.598;3.0072;98.759;0.98759
0.612;0.607;0.598;0.601;0.598;3.0072;98.71;0.9871
0.612;0.607;0.599;0.601;0.598;3.0084;98.671;0.98671
0.612;0.607;0.599;0.601;0.598;3.0084;98.657;0.98657
0.612;0.607;0.599;0.601;0.598;3.0084;98.642;0.98642
0.612;0.607;0.599;0.601;0.598;3.0084;98.632;0.98632
0.612;0.607;0.599;0.601;0.599;3.0096;98.627;0.98627
0.612;0.607;0.599;0.601;0.598;3.0084;98.583;0.98583
0.613;0.607;0.599;0.602;0.599;3.011;98.574;0.98574
0.612;0.607;0.599;0.601;0.599;3.0096;98.544;0.98544
0.612;0.608;0.599;0.602;0.599;3.012;98.544;0.98544
0.612;0.607;0.599;0.602;0.599;3.0108;98.49;0.9849
0.613;0.607;0.599;0.602;0.599;3.011;98.476;0.98476
0.613;0.608;0.6;0.602;0.599;3.0134;98.427;0.98427
0.613;0.607;0.6;0.602;0.599;3.0122;98.432;0.98432
0.613;0.607;0.599;0.602;0.599;3.011;98.417;0.98417
0.612;0.607;0.599;0.602;0.599;3.0108;98.393;0.98393
0.613;0.608;0.6;0.602;0.599;3.0134;98.393;0.98393
0.612;0.607;0.599;0.601;0.599;3.0096;98.383;0.98383
0.612;0.607;0.599;0.602;0.599;3.0108;98.339;0.98339
0.613;0.608;0.6;0.602;0.599;3.0134;98.344;0.98344
0.612;0.607;0.6;0.602;0.599;3.012;98.32;0.9832
0.613;0.608;0.6;0.602;0.599;3.0134;98.29;0.9829
0.613;0.608;0.6;0.602;0.599;3.0134;98.276;0.98276
0.613;0.607;0.6;0.602;0.599;3.0122;98.271;0.98271
0.613;0.608;0.6;0.602;0.599;3.0134;98.251;0.98251
0.612;0.607;0.6;0.601;0.599;3.0108;98.217;0.98217
0.612;0.607;0.6;0.602;0.599;3.012;98.193;0.98193
0.612;0.607;0.6;0.601;0.599;3.0108;98.183;0.98183
0.613;0.608;0.601;0.603;0.6;3.017;98.149;0.98149
0.612;0.607;0.6;0.602;0.599;3.012;98.124;0.98124
0.613;0.608;0.6;0.602;0.599;3.0134;98.095;0.98095
0.613;0.607;0.6;0.602;0.599;3.0122;98.085;0.98085
0.614;0.608;0.6;0.603;0.6;3.016;98.041;0.98041
0.614;0.608;0.6;0.602;0.599;3.0136;98.036;0.98036
0.614;0.607;0.6;0.602;0.599;3.0124;98.031;0.98031
0.614;0.608;0.6;0.602;0.599;3.0136;98.027;0.98027
0.614;0.608;0.6;0.602;0.6;3.0148;97.997;0.97997
0.614;0.608;0.6;0.603;0.6;3.016;97.992;0.97992
0.615;0.608;0.601;0.603;0.6;3.0174;97.948;0.97948
0.614;0.608;0.6;0.603;0.6;3.016;97.943;0.97943
0.615;0.608;0.601;0.603;0.6;3.0174;97.924;0.97924
0.614;0.608;0.6;0.603;0.6;3.016;97.9;0.979
0.615;0.608;0.601;0.603;0.6;3.0174;97.885;0.97885
0.615;0.608;0.601;0.603;0.6;3.0174;97.836;0.97836
0.615;0.608;0.601;0.603;0.6;3.0174;97.826;0.97826
0.615;0.609;0.601;0.603;0.6;3.0186;97.797;0.97797
0.615;0.609;0.601;0.604;0.6;3.0198;97.787;0.97787
0.616;0.609;0.602;0.604;0.6;3.0212;97.763;0.97763
0.615;0.609;0.601;0.603;0.6;3.0186;97.729;0.97729
0.615;0.609;0.601;0.603;0.6;3.0186;97.743;0.97743
0.616;0.609;0.602;0.604;0.601;3.0224;97.724;0.97724
0.615;0.609;0.601;0.604;0.6;3.0198;97.694;0.97694
0.615;0.609;0.601;0.603;0.6;3.0186;97.65;0.9765
0.616;0.61;0.602;0.605;0.601;3.0248;97.641;0.97641
0.615;0.609;0.601;0.603;0.6;3.0186;97.606;0.97606
0.616;0.61;0.602;0.604;0.601;3.0236;97.602;0.97602
0.615;0.609;0.601;0.603;0.6;3.0186;97.577;0.97577
0.616;0.61;0.603;0.605;0.601;3.026;97.543;0.97543
0.615;0.609;0.602;0.603;0.6;3.0198;97.519;0.97519
0.616;0.61;0.603;0.605;0.601;3.026;97.528;0.97528
0.615;0.609;0.602;0.604;0.601;3.0222;97.523;0.97523
0.616;0.61;0.602;0.604;0.601;3.0236;97.509;0.97509
0.616;0.61;0.602;0.604;0.601;3.0236;97.494;0.97494
0.616;0.61;0.603;0.605;0.601;3.026;97.445;0.97445
0.616;0.61;0.603;0.605;0.601;3.026;97.426;0.97426
0.616;0.61;0.602;0.604;0.601;3.0236;97.411;0.97411
0.616;0.61;0.603;0.605;0.602;3.0272;97.377;0.97377
0.616;0.61;0.602;0.604;0.601;3.0236;97.348;0.97348
0.617;0.611;0.603;0.605;0.602;3.0286;97.323;0.97323
0.616;0.61;0.602;0.605;0.602;3.026;97.313;0.97313
0.616;0.61;0.602;0.605;0.602;3.026;97.299;0.97299
0.617;0.611;0.603;0.605;0.602;3.0286;97.289;0.97289
0.616;0.61;0.602;0.605;0.601;3.0248;97.24;0.9724
0.617;0.611;0.603;0.606;0.602;3.0298;97.221;0.97221
0.617;0.611;0.603;0.606;0.602;3.0298;97.206;0.97206
0.616;0.61;0.602;0.605;0.602;3.026;97.206;0.97206
0.617;0.611;0.604;0.606;0.603;3.0322;97.177;0.97177
0.617;0.611;0.603;0.605;0.602;3.0286;97.143;0.97143
0.617;0.611;0.603;0.605;0.602;3.0286;97.133;0.97133
0.617;0.611;0.604;0.606;0.602;3.031;97.118;0.97118
0.616;0.61;0.603;0.605;0.602;3.0272;97.113;0.97113
0.617;0.611;0.604;0.606;0.602;3.031;97.108;0.97108
0.616;0.61;0.603;0.605;0.602;3.0272;97.084;0.97084
0.617;0.611;0.604;0.606;0.603;3.0322;97.025;0.97025
0.617;0.611;0.604;0.606;0.602;3.031;97.02;0.9702
0.617;0.611;0.604;0.606;0.602;3.031;97.016;0.97016
0.617;0.611;0.604;0.606;0.602;3.031;96.986;0.96986
0.617;0.611;0.604;0.606;0.602;3.031;96.942;0.96942
0.617;0.611;0.604;0.606;0.603;3.0322;96.937;0.96937
0.618;0.612;0.604;0.606;0.603;3.0336;96.923;0.96923
0.618;0.612;0.604;0.606;0.603;3.0336;96.908;0.96908
0.618;0.612;0.604;0.606;0.603;3.0336;96.893;0.96893
0.617;0.611;0.604;0.606;0.603;3.0322;96.893;0.96893
0.618;0.612;0.604;0.606;0.603;3.0336;96.83;0.9683
0.618;0.612;0.604;0.607;0.603;3.0348;96.82;0.9682
0.618;0.612;0.605;0.607;0.603;3.036;96.796;0.96796
0.618;0.612;0.605;0.607;0.603;3.036;96.82;0.9682
0.618;0.612;0.605;0.607;0.603;3.036;96.791;0.96791
0.618;0.612;0.604;0.607;0.603;3.0348;96.727;0.96727
0.619;0.613;0.605;0.607;0.604;3.0386;96.713;0.96713
0.618;0.612;0.605;0.607;0.604;3.0372;96.718;0.96718
0.618;0.612;0.605;0.607;0.604;3.0372;96.708;0.96708
0.618;0.612;0.604;0.607;0.603;3.0348;96.674;0.96674
0.619;0.612;0.605;0.607;0.604;3.0374;96.639;0.96639
0.619;0.613;0.605;0.608;0.604;3.0398;96.63;0.9663
0.619;0.613;0.605;0.607;0.604;3.0386;96.625;0.96625
0.618;0.612;0.605;0.607;0.604;3.0372;96.576;0.96576
0.619;0.613;0.605;0.608;0.604;3.0398;96.547;0.96547
0.619;0.613;0.605;0.607;0.604;3.0386;96.532;0.96532
0.619;0.613;0.605;0.608;0.604;3.0398;96.532;0.96532
0.619;0.613;0.605;0.608;0.604;3.0398;96.469;0.96469
0.619;0.613;0.606;0.608;0.604;3.041;96.439;0.96439
0.62;0.613;0.606;0.608;0.604;3.0412;96.434;0.96434
0.619;0.613;0.605;0.607;0.604;3.0386;96.439;0.96439
0.619;0.613;0.606;0.608;0.604;3.041;96.434;0.96434
0.62;0.613;0.606;0.608;0.604;3.0412;96.415;0.96415
0.619;0.613;0.605;0.608;0.604;3.0398;96.39;0.9639
0.62;0.613;0.606;0.608;0.605;3.0424;96.346;0.96346
0.62;0.613;0.606;0.608;0.605;3.0424;96.337;0.96337
0.619;0.613;0.606;0.608;0.605;3.0422;96.312;0.96312
0.62;0.613;0.606;0.608;0.605;3.0424;96.322;0.96322
0.62;0.613;0.606;0.608;0.605;3.0424;96.293;0.96293
0.62;0.614;0.606;0.608;0.605;3.0436;96.244;0.96244
0.62;0.614;0.606;0.609;0.605;3.0448;96.229;0.96229
0.619;0.613;0.606;0.608;0.604;3.041;96.219;0.96219
0.62;0.614;0.606;0.609;0.605;3.0448;96.171;0.96171
0.619;0.613;0.606;0.608;0.604;3.041;96.146;0.96146
0.62;0.614;0.606;0.608;0.605;3.0436;96.141;0.96141
0.62;0.614;0.606;0.608;0.605;3.0436;96.132;0.96132
0.62;0.614;0.606;0.608;0.605;3.0436;96.112;0.96112
0.621;0.614;0.607;0.609;0.605;3.0462;96.112;0.96112
0.62;0.614;0.606;0.608;0.605;3.0436;96.073;0.96073
0.621;0.614;0.606;0.609;0.605;3.045;96.044;0.96044
0.62;0.614;0.606;0.609;0.605;3.0448;96.044;0.96044
0.621;0.614;0.606;0.609;0.606;3.0462;96.009;0.96009
0.621;0.614;0.606;0.609;0.606;3.0462;96.019;0.96019
0.62;0.613;0.606;0.609;0.605;3.0436;95.985;0.95985
0.622;0.615;0.608;0.61;0.606;3.0512;95.951;0.95951
0.62;0.614;0.606;0.608;0.605;3.0436;95.941;0.95941
0.621;0.615;0.607;0.61;0.606;3.0498;95.907;0.95907
0.62;0.614;0.607;0.609;0.606;3.0472;95.917;0.95917
0.621;0.615;0.607;0.61;0.606;3.0498;95.892;0.95892
0.621;0.615;0.607;0.61;0.606;3.0498;95.858;0.95858
0.621;0.614;0.607;0.609;0.606;3.0474;95.848;0.95848
0.621;0.615;0.607;0.61;0.606;3.0498;95.843;0.95843
0.62;0.614;0.607;0.609;0.606;3.0472;95.819;0.95819
0.622;0.615;0.608;0.61;0.607;3.0524;95.78;0.9578
0.621;0.615;0.607;0.61;0.606;3.0498;95.76;0.9576
0.622;0.615;0.608;0.61;0.607;3.0524;95.736;0.95736
0.621;0.615;0.607;0.61;0.606;3.0498;95.697;0.95697
0.622;0.615;0.608;0.611;0.607;3.0536;95.682;0.95682
0.622;0.615;0.607;0.61;0.606;3.05;95.653;0.95653
0.622;0.615;0.608;0.61;0.607;3.0524;95.653;0.95653
0.622;0.615;0.608;0.61;0.607;3.0524;95.648;0.95648
0.622;0.615;0.607;0.61;0.606;3.05;95.643;0.95643
0.623;0.616;0.609;0.611;0.607;3.0562;95.585;0.95585
0.622;0.615;0.607;0.61;0.606;3.05;95.555;0.95555
0.623;0.616;0.609;0.611;0.607;3.0562;95.555;0.95555
0.622;0.615;0.608;0.611;0.607;3.0536;95.56;0.9556
0.622;0.616;0.608;0.611;0.607;3.0548;95.555;0.95555
0.622;0.615;0.608;0.611;0.607;3.0536;95.482;0.95482
0.623;0.616;0.609;0.611;0.608;3.0574;95.458;0.95458
0.622;0.616;0.608;0.611;0.607;3.0548;95.443;0.95443
0.623;0.616;0.609;0.611;0.607;3.0562;95.399;0.95399
0.622;0.616;0.608;0.611;0.607;3.0548;95.414;0.95414
0.622;0.616;0.608;0.611;0.607;3.0548;95.384;0.95384
0.622;0.616;0.608;0.611;0.607;3.0548;95.36;0.9536
0.623;0.617;0.609;0.612;0.608;3.0598;95.34;0.9534
0.622;0.616;0.608;0.611;0.607;3.0548;95.326;0.95326
0.623;0.616;0.609;0.611;0.608;3.0574;95.311;0.95311
0.623;0.617;0.609;0.612;0.608;3.0598;95.311;0.95311
0.622;0.616;0.608;0.611;0.607;3.0548;95.272;0.95272
0.623;0.617;0.61;0.612;0.608;3.061;95.248;0.95248
0.623;0.616;0.609;0.612;0.608;3.0586;95.208;0.95208
0.623;0.617;0.609;0.612;0.608;3.0598;95.199;0.95199
0.623;0.617;0.609;0.612;0.608;3.0598;95.204;0.95204
0.623;0.617;0.609;0.612;0.608;3.0598;95.169;0.95169
0.623;0.617;0.61;0.612;0.609;3.0622;95.165;0.95165
0.623;0.617;0.609;0.612;0.608;3.0598;95.145;0.95145
0.624;0.618;0.61;0.613;0.608;3.0636;95.111;0.95111
0.624;0.617;0.61;0.612;0.609;3.0624;95.091;0.95091
0.624;0.617;0.609;0.612;0.608;3.06;95.062;0.95062
0.624;0.618;0.61;0.613;0.609;3.0648;95.042;0.95042
0.624;0.617;0.61;0.612;0.608;3.0612;94.984;0.94984
0.624;0.618;0.61;0.613;0.609;3.0648;94.984;0.94984
0.624;0.618;0.61;0.613;0.609;3.0648;94.989;0.94989
0.624;0.618;0.61;0.612;0.609;3.0636;94.984;0.94984
0.625;0.618;0.611;0.613;0.609;3.0662;94.95;0.9495
0.624;0.618;0.61;0.613;0.609;3.0648;94.886;0.94886
0.625;0.618;0.611;0.613;0.609;3.0662;94.891;0.94891
0.624;0.618;0.61;0.613;0.609;3.0648;94.876;0.94876
0.625;0.618;0.611;0.613;0.609;3.0662;94.857;0.94857
0.624;0.618;0.61;0.613;0.609;3.0648;94.847;0.94847
0.626;0.619;0.612;0.614;0.61;3.0712;94.803;0.94803
0.625;0.619;0.611;0.614;0.61;3.0698;94.788;0.94788
0.625;0.618;0.61;0.613;0.609;3.065;94.784;0.94784
0.625;0.619;0.611;0.614;0.61;3.0698;94.779;0.94779
0.625;0.619;0.611;0.614;0.61;3.0698;94.73;0.9473
0.625;0.619;0.61;0.613;0.61;3.0674;94.681;0.94681
0.625;0.619;0.611;0.614;0.61;3.0698;94.691;0.94691
0.625;0.618;0.61;0.613;0.609;3.065;94.671;0.94671
0.626;0.619;0.612;0.614;0.61;3.0712;94.666;0.94666
0.626;0.619;0.612;0.614;0.61;3.0712;94.647;0.94647
0.625;0.619;0.611;0.613;0.61;3.0686;94.598;0.94598
0.626;0.619;0.611;0.614;0.61;3.07;94.583;0.94583
0.625;0.619;0.611;0.613;0.61;3.0686;94.578;0.94578
0.626;0.62;0.612;0.615;0.611;3.0748;94.578;0.94578
0.625;0.618;0.61;0.613;0.61;3.0662;94.52;0.9452
0.625;0.619;0.611;0.614;0.61;3.0698;94.486;0.94486
0.626;0.619;0.611;0.614;0.61;3.07;94.505;0.94505
0.625;0.619;0.611;0.614;0.61;3.0698;94.486;0.94486
0.625;0.619;0.611;0.613;0.61;3.0686;94.486;0.94486
0.626;0.62;0.612;0.615;0.611;3.0748;94.466;0.94466
0.625;0.619;0.611;0.614;0.61;3.0698;94.388;0.94388
0.625;0.619;0.611;0.614;0.61;3.0698;94.393;0.94393
0.625;0.619;0.611;0.614;0.61;3.0698;94.398;0.94398
0.626;0.619;0.612;0.614;0.61;3.0712;94.388;0.94388
0.625;0.619;0.611;0.614;0.61;3.0698;94.339;0.94339
0.625;0.619;0.611;0.614;0.61;3.0698;94.29;0.9429
0.625;0.619;0.612;0.614;0.611;3.0722;94.29;0.9429
0.625;0.619;0.611;0.614;0.61;3.0698;94.295;0.94295
0.625;0.619;0.611;0.614;0.61;3.0698;94.276;0.94276
0.625;0.619;0.612;0.614;0.61;3.071;94.261;0.94261
0.625;0.619;0.611;0.614;0.61;3.0698;94.222;0.94222
0.626;0.62;0.612;0.614;0.611;3.0736;94.193;0.94193
0.625;0.619;0.611;0.614;0.61;3.0698;94.188;0.94188
0.626;0.62;0.612;0.615;0.611;3.0748;94.188;0.94188
0.625;0.619;0.611;0.614;0.61;3.0698;94.183;0.94183
0.626;0.62;0.612;0.614;0.611;3.0736;94.144;0.94144
0.625;0.619;0.611;0.614;0.61;3.0698;94.139;0.94139
0.626;0.62;0.612;0.615;0.611;3.0748;94.124;0.94124
0.625;0.619;0.611;0.613;0.61;3.0686;94.09;0.9409
0.626;0.619;0.612;0.614;0.611;3.0724;94.095;0.94095
0.625;0.619;0.611;0.614;0.61;3.0698;94.075;0.94075
0.626;0.62;0.612;0.615;0.611;3.0748;94.036;0.94036
0.625;0.619;0.611;0.614;0.611;3.071;93.987;0.93987
0.625;0.619;0.611;0.615;0.611;3.0722;93.992;0.93992
0.626;0.62;0.612;0.615;0.611;3.0748;94.002;0.94002
0.626;0.62;0.612;0.615;0.611;3.0748;93.987;0.93987
0.626;0.62;0.612;0.616;0.611;3.076;93.939;0.93939
0.626;0.62;0.612;0.615;0.611;3.0748;93.895;0.93895
0.626;0.62;0.612;0.615;0.611;3.0748;93.895;0.93895
0.626;0.62;0.612;0.616;0.611;3.076;93.895;0.93895
0.625;0.619;0.612;0.615;0.611;3.0734;93.841;0.93841
0.626;0.62;0.613;0.616;0.612;3.0784;93.846;0.93846
0.626;0.62;0.612;0.615;0.611;3.0748;93.865;0.93865
0.626;0.62;0.612;0.615;0.612;3.076;93.817;0.93817
0.626;0.62;0.612;0.615;0.611;3.0748;93.758;0.93758
0.625;0.62;0.612;0.615;0.611;3.0746;93.734;0.93734
0.626;0.62;0.613;0.615;0.612;3.0772;93.729;0.93729
0.626;0.621;0.613;0.616;0.612;3.0796;93.699;0.93699
0.626;0.62;0.613;0.616;0.612;3.0784;93.704;0.93704
0.626;0.62;0.613;0.616;0.612;3.0784;93.694;0.93694
0.627;0.621;0.613;0.616;0.612;3.0798;93.699;0.93699
0.626;0.62;0.613;0.616;0.612;3.0784;93.675;0.93675
0.627;0.621;0.614;0.617;0.612;3.0822;93.616;0.93616
0.626;0.62;0.613;0.616;0.612;3.0784;93.602;0.93602
0.627;0.621;0.614;0.617;0.612;3.0822;93.587;0.93587
0.626;0.621;0.613;0.616;0.612;3.0796;93.563;0.93563
0.627;0.621;0.613;0.617;0.612;3.081;93.548;0.93548
0.626;0.621;0.613;0.616;0.612;3.0796;93.528;0.93528
0.626;0.621;0.613;0.616;0.612;3.0796;93.504;0.93504
0.627;0.622;0.614;0.617;0.613;3.0846;93.499;0.93499
0.626;0.621;0.613;0.616;0.612;3.0796;93.45;0.9345
0.627;0.622;0.614;0.617;0.613;3.0846;93.44;0.9344
0.627;0.621;0.614;0.616;0.613;3.0822;93.421;0.93421
0.627;0.622;0.614;0.617;0.613;3.0846;93.406;0.93406
0.627;0.621;0.614;0.617;0.612;3.0822;93.401;0.93401
0.626;0.621;0.613;0.616;0.612;3.0796;93.333;0.93333
0.628;0.623;0.615;0.618;0.614;3.0896;93.338;0.93338
0.628;0.622;0.614;0.617;0.613;3.0848;93.304;0.93304
0.628;0.622;0.614;0.617;0.612;3.0836;93.294;0.93294
0.628;0.622;0.614;0.617;0.613;3.0848;93.313;0.93313
0.628;0.622;0.614;0.618;0.613;3.086;93.294;0.93294
0.628;0.622;0.614;0.617;0.613;3.0848;93.221;0.93221
0.628;0.622;0.615;0.617;0.613;3.086;93.206;0.93206
0.629;0.623;0.615;0.618;0.613;3.0886;93.196;0.93196
0.628;0.623;0.615;0.618;0.614;3.0896;93.172;0.93172
0.629;0.622;0.615;0.618;0.613;3.0874;93.157;0.93157
0.628;0.622;0.614;0.618;0.613;3.086;93.128;0.93128
0.629;0.623;0.615;0.618;0.614;3.0898;93.108;0.93108
0.628;0.622;0.614;0.618;0.613;3.086;93.094;0.93094
0.629;0.623;0.616;0.618;0.614;3.091;93.045;0.93045
0.628;0.622;0.614;0.617;0.613;3.0848;93.069;0.93069
0.629;0.623;0.616;0.618;0.614;3.091;93.045;0.93045
0.629;0.623;0.615;0.618;0.614;3.0898;93.016;0.93016
0.629;0.623;0.616;0.618;0.614;3.091;93.016;0.93016
0.629;0.623;0.615;0.618;0.614;3.0898;92.991;0.92991
0.629;0.623;0.616;0.619;0.614;3.0922;92.937;0.92937
0.629;0.623;0.616;0.618;0.614;3.091;92.933;0.92933
0.629;0.623;0.616;0.619;0.614;3.0922;92.928;0.92928
0.629;0.623;0.616;0.619;0.614;3.0922;92.923;0.92923
0.629;0.623;0.616;0.619;0.615;3.0934;92.879;0.92879
0.629;0.623;0.616;0.619;0.614;3.0922;92.859;0.92859
