fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0044838;-0.0067211
8915.3;0.0044766;-0.0059693
7948.3;0.004479;-0.0052998
7086.2;0.0044727;-0.0047026
6317.6;0.0044737;-0.0041598
5632.3;0.0044798;-0.0036732
5021.4;0.0044764;-0.0032456
4476.8;0.0044869;-0.0028552
3991.2;0.0044901;-0.0024987
3558.3;0.0045018;-0.0021881
3172.3;0.0045055;-0.0019035
2828.2;0.0045178;-0.0016389
2521.5;0.0045313;-0.0014064
2248.0;0.0045453;-0.0011922
2004.2;0.004569;-0.00099743
1786.8;0.0046244;-0.00082677
1593.0;0.0046532;-0.00065715
1420.2;0.0046689;-0.000504
1266.1;0.0046881;-0.00036076
1128.8;0.0047114;-0.00023517
1006.4;0.0047425;-0.000081673
897.21;0.0047113;0.000079843
799.9;0.0047439;0.00019046
713.14;0.0047711;0.0002952
635.78;0.0048114;0.00040503
566.82;0.00484;0.00052262
505.34;0.0049082;0.00060539
450.53;0.0049479;0.0007167
401.66;0.0049911;0.00083502
358.1;0.0050346;0.00094157
319.26;0.0051067;0.0010629
284.63;0.0051799;0.0011828
253.75;0.0052577;0.0013153
226.23;0.0053442;0.0014161
201.69;0.0054463;0.0016177
179.82;0.005546;0.0017492
160.31;0.0056281;0.0019247
142.92;0.0057392;0.0020532
127.42;0.005887;0.0022446
113.6;0.0060416;0.0023741
101.28;0.0062371;0.0026223
90.293;0.0064471;0.0027836
80.499;0.0066677;0.0029019
71.768;0.0069684;0.0032184
64.001;0.0072738;0.0033057
56.925;0.0076388;0.0034683
50.492;0.0080116;0.0035681
44.655;0.0083763;0.003699
39.372;0.008784;0.0037717
34.601;0.009267;0.0038267
30.303;0.0097147;0.0038414
26.442;0.010173;0.003763
22.983;0.010558;0.0037266
19.894;0.010892;0.0036406
17.144;0.011386;0.0035018
14.704;0.01178;0.0034418
12.547;0.012111;0.003243
10.648;0.012576;0.0030828
8.9835;0.012832;0.0030499
7.5313;0.012827;0.0028965
6.2707;0.013514;0.0028163
5.1825;0.013521;0.002944
4.2488;0.014035;0.0024107
3.4529;0.014113;0.0027292
2.7795;0.013923;0.0027855
2.2144;0.015183;0.0025261
1.7444;0.015472;0.0021889
1.3574;0.015996;0.0019112
1.0423;0.016357;0.0015081
0.78908;0.016582;0.0011455
0.58836;0.016772;0.00085827
0.43177;0.016776;0.00071301
0.31175;0.016658;0.00035068
0.22152;0.016684;0.000081957
0.15507;0.016657;-0.000026448
0.10718;0.016658;-0.00021362
0.07339;0.016466;-0.0002101
0.05;0.016457;-0.00019093
