fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0044864;-0.0076798
8915.3;0.0044625;-0.0068239
7948.3;0.0044598;-0.00606
7086.2;0.0044558;-0.005378
6317.6;0.0044504;-0.0047687
5632.3;0.0044494;-0.0042245
5021.4;0.0044562;-0.0037333
4476.8;0.0044629;-0.0032901
3991.2;0.0044696;-0.0028934
3558.3;0.0044755;-0.0025379
3172.3;0.0044854;-0.0022179
2828.2;0.0044971;-0.001928
2521.5;0.0045107;-0.0016605
2248.0;0.004528;-0.0014246
2004.2;0.0045438;-0.0012077
1786.8;0.0045622;-0.0010081
1593.0;0.00458;-0.0008241
1420.2;0.0045876;-0.00065995
1266.1;0.0046167;-0.00049887
1128.8;0.0046454;-0.00036117
1006.4;0.0046698;-0.00020598
897.21;0.0046943;-0.000052034
799.9;0.0047228;0.000071257
713.14;0.0047456;0.00019067
635.78;0.0047878;0.00029274
566.82;0.0048285;0.00041482
505.34;0.0048698;0.00051323
450.53;0.0049142;0.00062136
401.66;0.0049623;0.00073154
358.1;0.0050355;0.00083662
319.26;0.0050311;0.00094881
284.63;0.0051301;0.0010797
253.75;0.0052024;0.0012323
226.23;0.0052583;0.0013558
201.69;0.0053725;0.0014744
179.82;0.0054702;0.0016095
160.31;0.0055812;0.0017618
142.92;0.005739;0.0018974
127.42;0.0058302;0.0020707
113.6;0.0059906;0.0022259
101.28;0.006127;0.002346
90.293;0.0063229;0.0025475
80.499;0.0065225;0.0026674
71.768;0.0067281;0.0027612
64.001;0.0070906;0.0029715
56.925;0.0075636;0.0030355
50.492;0.0077248;0.0032568
44.655;0.0081104;0.0033413
39.372;0.0084442;0.0033929
34.601;0.0088631;0.0034828
30.303;0.0092068;0.0035048
26.442;0.0096042;0.0035477
22.983;0.0099527;0.0035382
19.894;0.010362;0.0035532
17.144;0.01074;0.0034786
14.704;0.0112;0.0033171
12.547;0.01146;0.0033232
10.648;0.011799;0.0032871
8.9835;0.012351;0.0031743
7.5313;0.012385;0.0033754
6.2707;0.012804;0.0029848
5.1825;0.013099;0.0029699
4.2488;0.013683;0.0028547
3.4529;0.014098;0.00343
2.7795;0.014924;0.0029331
2.2144;0.015242;0.0025436
1.7444;0.015855;0.0025684
1.3574;0.016171;0.0020551
1.0423;0.016541;0.0015175
0.78908;0.016716;0.001147
0.58836;0.016788;0.00072191
0.43177;0.016731;0.00036576
0.31175;0.016785;0.00027253
0.22152;0.016713;0.000013871
0.15507;0.016647;-0.00012604
0.10718;0.016592;-0.00022483
0.07339;0.016447;-0.00027656
0.05;0.016291;-0.00034328
