fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.004426;-0.0062354
8915.3;0.0044169;-0.0055408
7948.3;0.0044129;-0.0049181
7086.2;0.0044077;-0.004358
6317.6;0.0044061;-0.0038587
5632.3;0.004407;-0.0034118
5021.4;0.0044108;-0.0030083
4476.8;0.0044156;-0.0026454
3991.2;0.0044219;-0.0023173
3558.3;0.0044299;-0.002024
3172.3;0.0044425;-0.0017583
2828.2;0.0044515;-0.0015147
2521.5;0.004462;-0.0012956
2248.0;0.0044742;-0.0011003
2004.2;0.0044942;-0.00091728
1786.8;0.0045133;-0.00074827
1593.0;0.0045306;-0.00059592
1420.2;0.0045519;-0.00045811
1266.1;0.0045728;-0.00032306
1128.8;0.0045983;-0.00020038
1006.4;0.0046208;-0.000064081
897.21;0.0046451;0.000076521
799.9;0.0046793;0.00018133
713.14;0.004709;0.00028039
635.78;0.0047458;0.00038127
566.82;0.0047833;0.00047798
505.34;0.0048253;0.00057838
450.53;0.0048687;0.00067919
401.66;0.0049217;0.00079129
358.1;0.0049676;0.00088117
319.26;0.0050312;0.0009877
284.63;0.0050907;0.0010989
253.75;0.0051704;0.0012268
226.23;0.0052252;0.0013505
201.69;0.0053215;0.0014838
179.82;0.0054252;0.0016093
160.31;0.0055322;0.0017454
142.92;0.0057005;0.0019045
127.42;0.0057959;0.0020315
113.6;0.0059565;0.0022259
101.28;0.0060995;0.0023569
90.293;0.0062864;0.0025312
80.499;0.0065149;0.0026165
71.768;0.0067148;0.0028646
64.001;0.0070129;0.002922
56.925;0.0073687;0.003062
50.492;0.0076465;0.003173
44.655;0.0080057;0.0032931
39.372;0.0083261;0.0033327
34.601;0.0087242;0.0034434
30.303;0.0090759;0.0034377
26.442;0.0094677;0.0034333
22.983;0.0098011;0.0034395
19.894;0.010217;0.0034081
17.144;0.010542;0.0033422
14.704;0.01091;0.003285
12.547;0.011371;0.0031785
10.648;0.01165;0.0030215
8.9835;0.011865;0.0029775
7.5313;0.012238;0.0028983
6.2707;0.012635;0.0029056
5.1825;0.012709;0.0030411
4.2488;0.013263;0.0030009
3.4529;0.013828;0.0029436
2.7795;0.014465;0.0028433
2.2144;0.014733;0.0024691
1.7444;0.015466;0.0023617
1.3574;0.015755;0.0019172
1.0423;0.016166;0.0014505
0.78908;0.0163;0.0010666
0.58836;0.016315;0.00059639
0.43177;0.016287;0.00041888
0.31175;0.01628;0.0001843
0.22152;0.01621;-0.0000067993
0.15507;0.016135;-0.00017785
0.10718;0.016067;-0.00027099
0.07339;0.015886;-0.00036992
0.05;0.015767;-0.00040463
