fREQUENCY/hZ;r/oHM;i/oHM
10000.0;0.0046965;-0.0068452
8915.3;0.0047085;-0.0060827
7948.3;0.0047038;-0.0053965
7086.2;0.004711;-0.0047843
6317.6;0.0047161;-0.0042285
5632.3;0.0047199;-0.0037402
5021.4;0.004732;-0.0032953
4476.8;0.0047442;-0.0028895
3991.2;0.0047554;-0.0025355
3558.3;0.0047628;-0.0022134
3172.3;0.0047708;-0.0019109
2828.2;0.0047904;-0.0016459
2521.5;0.0048095;-0.0014015
2248.0;0.0048299;-0.0011767
2004.2;0.0048407;-0.00097758
1786.8;0.004854;-0.00079283
1593.0;0.0048769;-0.00062425
1420.2;0.0048971;-0.00045625
1266.1;0.0049225;-0.00031425
1128.8;0.0049604;-0.00017841
1006.4;0.004987;-0.000012754
897.21;0.0049504;0.0001663
799.9;0.0049783;0.00027953
713.14;0.0050232;0.00039285
635.78;0.0050637;0.00050145
566.82;0.0051113;0.00061679
505.34;0.0051507;0.00073435
450.53;0.0051922;0.00084699
401.66;0.0052408;0.00096296
358.1;0.0052934;0.0010858
319.26;0.0053433;0.0012128
284.63;0.0054109;0.0013559
253.75;0.005466;0.0015044
226.23;0.0055224;0.0016742
201.69;0.0056191;0.0018363
179.82;0.0057026;0.0020151
160.31;0.0058084;0.0022214
142.92;0.0058991;0.0024234
127.42;0.0060521;0.0026475
113.6;0.006188;0.0029029
101.28;0.0063591;0.0031607
90.293;0.0065446;0.003452
80.499;0.0067641;0.003749
71.768;0.0070205;0.0040522
64.001;0.007355;0.0043739
56.925;0.007838;0.0047359
50.492;0.0082581;0.0050581
44.655;0.0087245;0.0054261
39.372;0.0092589;0.0057595
34.601;0.0099006;0.0060871
30.303;0.010617;0.0063478
26.442;0.011379;0.0065547
22.983;0.012219;0.0066756
19.894;0.013096;0.0067481
17.144;0.013958;0.0067015
14.704;0.014897;0.0065395
12.547;0.015735;0.0063226
10.648;0.016514;0.0059939
8.9835;0.017286;0.0056138
7.5313;0.017956;0.0052399
6.2707;0.01855;0.0048288
5.1825;0.019125;0.0044322
4.2488;0.019547;0.0039462
3.4529;0.019867;0.0035907
2.7795;0.020093;0.0033227
2.2144;0.020434;0.0031725
1.7444;0.020705;0.0029621
1.3574;0.021293;0.0032068
1.0423;0.021671;0.003031
0.78908;0.022623;0.0030471
0.58836;0.023217;0.0028726
0.43177;0.024051;0.002539
0.31175;0.024716;0.0023741
0.22152;0.024953;0.0014356
0.15507;0.025005;0.0011631
0.10718;0.025161;0.0005451
0.07339;0.02508;0.00024768
0.05;0.025195;0.0001096
